Model,Model Index,Displacement,Cylinders,Gears,Transmission,MPG,Aspiration,Lockup Torque Converter,Drive,Max Ethanol,Recommended Fuel,Intake Valves Per Cyl,Exhaust Valves Per Cyl,Fuel injection
"Ferrari North America, Inc. 488 gtb",142,3.9,8,7,Manual,18,Turbocharged/Supercharged,N,"2-Wheel Drive, Rear",10,Premium Unleaded Required,2,2,Direct ignition
"Ferrari North America, Inc. 488 gtb",143,3.9,8,7,Manual,18,Turbocharged/Supercharged,N,"2-Wheel Drive, Rear",10,Premium Unleaded Required,2,2,Direct ignition
"Ferrari North America, Inc. 488 Spider",145,3.9,8,7,Manual,18,Turbocharged/Supercharged,N,"2-Wheel Drive, Rear",10,Premium Unleaded Required,2,2,Direct ignition
"Ferrari North America, Inc. 488 Spider",144,3.9,8,7,Manual,18,Turbocharged/Supercharged,N,"2-Wheel Drive, Rear",10,Premium Unleaded Required,2,2,Direct ignition
"Ferrari North America, Inc. 812 Superfast",154,6.5,12,7,Manual,13,Naturally Aspirated,N,"2-Wheel Drive, Rear",10,Premium Unleaded Required,2,2,Direct ignition
FIAT 124 Spider,405,1.4,4,6,Automatic,29,Turbocharged/Supercharged,Y,"2-Wheel Drive, Rear",10,Premium Unleaded Recommended,2,2,Multipoint/sequential ignition
FIAT 124 Spider,406,1.4,4,6,Manual,30,Turbocharged/Supercharged,N,"2-Wheel Drive, Rear",10,Premium Unleaded Recommended,2,2,Multipoint/sequential ignition
Ford FORD GT,322,3.5,6,7,Manual,14,Turbocharged/Supercharged,Y,"2-Wheel Drive, Rear",15,Premium Unleaded Required,2,2,Direct ignition
Jaguar F-TYPE Convertible,185,2,4,8,Automatic,26,Turbocharged/Supercharged,Y,"2-Wheel Drive, Rear",15,Premium Unleaded Recommended,2,2,Direct ignition
Jaguar F-TYPE Convertible,161,3,6,8,Automatic,23,Turbocharged/Supercharged,Y,"2-Wheel Drive, Rear",15,Premium Unleaded Recommended,2,2,Direct ignition
Jaguar F-TYPE Convertible Manual,171,3,6,6,Manual,19,Turbocharged/Supercharged,N,"2-Wheel Drive, Rear",15,Premium Unleaded Recommended,2,2,Direct ignition
Jaguar F-TYPE Coupe,184,2,4,8,Automatic,26,Turbocharged/Supercharged,Y,"2-Wheel Drive, Rear",15,Premium Unleaded Recommended,2,2,Direct ignition
Jaguar F-TYPE Coupe,160,3,6,8,Automatic,23,Turbocharged/Supercharged,Y,"2-Wheel Drive, Rear",15,Premium Unleaded Recommended,2,2,Direct ignition
Jaguar F-TYPE Coupe Manual,170,3,6,6,Manual,19,Turbocharged/Supercharged,N,"2-Wheel Drive, Rear",15,Premium Unleaded Recommended,2,2,Direct ignition
Jaguar F-TYPE R AWD Convertible,159,5,8,8,Automatic,18,Turbocharged/Supercharged,Y,All Wheel Drive,15,Premium Unleaded Recommended,2,2,Direct ignition
Jaguar F-TYPE R AWD Coupe,158,5,8,8,Automatic,18,Turbocharged/Supercharged,Y,All Wheel Drive,15,Premium Unleaded Recommended,2,2,Direct ignition
Jaguar F-TYPE S AWD Convertible,165,3,6,8,Automatic,21,Turbocharged/Supercharged,Y,All Wheel Drive,15,Premium Unleaded Recommended,2,2,Direct ignition
Jaguar F-TYPE S AWD Coupe,164,3,6,8,Automatic,21,Turbocharged/Supercharged,Y,All Wheel Drive,15,Premium Unleaded Recommended,2,2,Direct ignition
Jaguar F-TYPE S Convertible,163,3,6,8,Automatic,22,Turbocharged/Supercharged,Y,"2-Wheel Drive, Rear",15,Premium Unleaded Recommended,2,2,Direct ignition
Jaguar F-TYPE S Convertible Manual,173,3,6,6,Manual,18,Turbocharged/Supercharged,N,"2-Wheel Drive, Rear",15,Premium Unleaded Recommended,2,2,Direct ignition
Jaguar F-TYPE S Coupe,162,3,6,8,Automatic,22,Turbocharged/Supercharged,Y,"2-Wheel Drive, Rear",15,Premium Unleaded Recommended,2,2,Direct ignition
Jaguar F-TYPE S Coupe Manual,172,3,6,6,Manual,18,Turbocharged/Supercharged,N,"2-Wheel Drive, Rear",15,Premium Unleaded Recommended,2,2,Direct ignition
Lamborghini Aventador Coupe,31,6.5,12,7,Manual,12,Naturally Aspirated,Y,All Wheel Drive,15,Premium Unleaded Required,2,2,Multipoint/sequential ignition
Lamborghini Aventador Roadster,33,6.5,12,7,Manual,12,Naturally Aspirated,Y,All Wheel Drive,15,Premium Unleaded Required,2,2,Multipoint/sequential ignition
Lamborghini Aventador S Coupe,30,6.5,12,7,Manual,12,Naturally Aspirated,Y,All Wheel Drive,15,Premium Unleaded Required,2,2,Multipoint/sequential ignition
Lamborghini Aventador S Roadster,32,6.5,12,7,Manual,12,Naturally Aspirated,Y,All Wheel Drive,15,Premium Unleaded Required,2,2,Multipoint/sequential ignition
Lamborghini Huracan,67,5.2,10,7,Manual,16,Naturally Aspirated,Y,All Wheel Drive,15,Premium Unleaded Recommended,2,2,Direct ignition
Lamborghini Huracan 2WD,69,5.2,10,7,Manual,16,Naturally Aspirated,Y,"2-Wheel Drive, Rear",15,Premium Unleaded Recommended,2,2,Direct ignition
Lamborghini Huracan Spyder,68,5.2,10,7,Manual,15,Naturally Aspirated,Y,All Wheel Drive,15,Premium Unleaded Recommended,2,2,Direct ignition
Lamborghini Huracan Spyder 2WD,70,5.2,10,7,Manual,16,Naturally Aspirated,Y,"2-Wheel Drive, Rear",15,Premium Unleaded Recommended,2,2,Direct ignition
MAZDA MX-5,14,2,4,6,Automatic,29,Naturally Aspirated,Y,"2-Wheel Drive, Rear",10,Premium Unleaded Recommended,2,2,Direct ignition
MAZDA MX-5,13,2,4,6,Manual,29,Naturally Aspirated,N,"2-Wheel Drive, Rear",10,Premium Unleaded Recommended,2,2,Direct ignition
Mercedes-Benz AMG GT (coupe),191,4,8,7,Manual,18,Turbocharged/Supercharged,Y,"2-Wheel Drive, Rear",10,Premium Unleaded Required,2,2,Direct ignition
Mercedes-Benz AMG GT (roadster),234,4,8,7,Manual,18,Turbocharged/Supercharged,Y,"2-Wheel Drive, Rear",10,Premium Unleaded Required,2,2,Direct ignition
Mercedes-Benz AMG GT C (coupe),192,4,8,7,Manual,17,Turbocharged/Supercharged,Y,"2-Wheel Drive, Rear",10,Premium Unleaded Required,2,2,Direct ignition
Mercedes-Benz AMG GT C (roadster),235,4,8,7,Manual,17,Turbocharged/Supercharged,Y,"2-Wheel Drive, Rear",10,Premium Unleaded Required,2,2,Direct ignition
Mercedes-Benz AMG GT R (coupe),194,4,8,7,Manual,17,Turbocharged/Supercharged,Y,"2-Wheel Drive, Rear",10,Premium Unleaded Required,2,2,Direct ignition
Mercedes-Benz AMG GT S (coupe),190,4,8,7,Manual,18,Turbocharged/Supercharged,Y,"2-Wheel Drive, Rear",10,Premium Unleaded Required,2,2,Direct ignition
Mercedes-Benz AMG SL 63,226,5.5,8,7,Automatic,19,Turbocharged/Supercharged,Y,"2-Wheel Drive, Rear",10,Premium Unleaded Required,2,2,Direct ignition
Mercedes-Benz AMG SL 65,228,6,12,7,Automatic,16,Turbocharged/Supercharged,Y,"2-Wheel Drive, Rear",10,Premium Unleaded Required,2,1,Multipoint/sequential ignition
Mercedes-Benz AMG SLC 43,239,3,6,9,Automatic,23,Turbocharged/Supercharged,Y,"2-Wheel Drive, Rear",10,Premium Unleaded Required,2,2,Direct ignition
Mercedes-Benz SL 450,223,3,6,9,Automatic,23,Turbocharged/Supercharged,Y,"2-Wheel Drive, Rear",10,Premium Unleaded Required,2,2,Direct ignition
Mercedes-Benz SL 550,222,4.7,8,9,Automatic,20,Turbocharged/Supercharged,Y,"2-Wheel Drive, Rear",10,Premium Unleaded Required,2,2,Direct ignition
Mercedes-Benz SLC 300,232,2,4,9,Automatic,27,Turbocharged/Supercharged,Y,"2-Wheel Drive, Rear",10,Premium Unleaded Required,2,2,Direct ignition
NISSAN 370Z,56,3.7,6,7,Automatic,22,Naturally Aspirated,Y,"2-Wheel Drive, Rear",10,Premium Unleaded Required,2,2,Multipoint/sequential ignition
NISSAN 370Z,57,3.7,6,6,Manual,21,Naturally Aspirated,N,"2-Wheel Drive, Rear",10,Premium Unleaded Required,2,2,Multipoint/sequential ignition
NISSAN 370Z Roadster,58,3.7,6,7,Automatic,21,Naturally Aspirated,Y,"2-Wheel Drive, Rear",10,Premium Unleaded Required,2,2,Multipoint/sequential ignition
NISSAN 370Z Roadster,59,3.7,6,6,Manual,20,Naturally Aspirated,N,"2-Wheel Drive, Rear",10,Premium Unleaded Required,2,2,Multipoint/sequential ignition
Porsche 911 GT3,132,4,6,7,Manual,17,Naturally Aspirated,N,"2-Wheel Drive, Rear",10,Premium Unleaded Required,2,2,Direct ignition
Porsche 911 GT3,131,4,6,6,Manual,16,Naturally Aspirated,N,"2-Wheel Drive, Rear",10,Premium Unleaded Required,2,2,Direct ignition
Porsche Boxster,202,2,4,7,Manual,25,Turbocharged/Supercharged,N,"2-Wheel Drive, Rear",10,Premium Unleaded Required,2,2,Direct ignition
Porsche Boxster,201,2,4,6,Manual,24,Turbocharged/Supercharged,N,"2-Wheel Drive, Rear",10,Premium Unleaded Required,2,2,Direct ignition
Porsche Boxster GTS,224,2.5,4,7,Manual,22,Turbocharged/Supercharged,N,"2-Wheel Drive, Rear",10,Premium Unleaded Required,2,2,Direct ignition
Porsche Boxster GTS,223,2.5,4,6,Manual,21,Turbocharged/Supercharged,N,"2-Wheel Drive, Rear",10,Premium Unleaded Required,2,2,Direct ignition
Porsche Boxster S,222,2.5,4,7,Manual,24,Turbocharged/Supercharged,N,"2-Wheel Drive, Rear",10,Premium Unleaded Required,2,2,Direct ignition
Porsche Boxster S,221,2.5,4,6,Manual,22,Turbocharged/Supercharged,N,"2-Wheel Drive, Rear",10,Premium Unleaded Required,2,2,Direct ignition
Porsche Cayman,212,2,4,7,Manual,25,Turbocharged/Supercharged,N,"2-Wheel Drive, Rear",10,Premium Unleaded Required,2,2,Direct ignition
Porsche Cayman,211,2,4,6,Manual,24,Turbocharged/Supercharged,N,"2-Wheel Drive, Rear",10,Premium Unleaded Required,2,2,Direct ignition
Porsche Cayman GTS,234,2.5,4,7,Manual,22,Turbocharged/Supercharged,N,"2-Wheel Drive, Rear",10,Premium Unleaded Required,2,2,Direct ignition
Porsche Cayman GTS,233,2.5,4,6,Manual,21,Turbocharged/Supercharged,N,"2-Wheel Drive, Rear",10,Premium Unleaded Required,2,2,Direct ignition
Porsche Cayman S,232,2.5,4,7,Manual,24,Turbocharged/Supercharged,N,"2-Wheel Drive, Rear",10,Premium Unleaded Required,2,2,Direct ignition
Porsche Cayman S,231,2.5,4,6,Manual,22,Turbocharged/Supercharged,N,"2-Wheel Drive, Rear",10,Premium Unleaded Required,2,2,Direct ignition
"Aston Martin Lagonda Ltd Vanquish, S and Zagato",4,6,12,8,Automatic,16,Naturally Aspirated,Y,"2-Wheel Drive, Rear",10,Premium Unleaded Recommended,2,2,Multipoint/sequential ignition
"Ferrari North America, Inc. California T",250,3.9,8,7,Manual,19,Turbocharged/Supercharged,N,"2-Wheel Drive, Rear",10,Premium Unleaded Required,2,2,Direct ignition
"Ferrari North America, Inc. California T",249,3.9,8,7,Manual,18,Turbocharged/Supercharged,N,"2-Wheel Drive, Rear",10,Premium Unleaded Required,2,2,Direct ignition
"Ferrari North America, Inc. GTC4Lusso",152,6.3,12,7,Manual,13,Naturally Aspirated,N,4-Wheel Drive,10,Premium Unleaded Required,2,2,Direct ignition
"Ferrari North America, Inc. GTC4Lusso T",162,3.9,8,7,Manual,17,Turbocharged/Supercharged,N,"2-Wheel Drive, Rear",10,Premium Unleaded Required,2,2,Direct ignition
Mini COOPER CONVERTIBLE,36,1.5,3,6,Automatic,30,Turbocharged/Supercharged,Y,"2-Wheel Drive, Front",10,Premium Unleaded Recommended,2,2,Direct ignition
Mini COOPER CONVERTIBLE,37,1.5,3,6,Manual,32,Turbocharged/Supercharged,N,"2-Wheel Drive, Front",10,Premium Unleaded Recommended,2,2,Direct ignition
Mini COOPER S CONVERTIBLE,58,2,4,6,Automatic,28,Turbocharged/Supercharged,Y,"2-Wheel Drive, Front",10,Premium Unleaded Recommended,2,2,Direct ignition
Mini COOPER S CONVERTIBLE,59,2,4,6,Manual,26,Turbocharged/Supercharged,N,"2-Wheel Drive, Front",10,Premium Unleaded Recommended,2,2,Direct ignition
Mini JOHN COOPER WORKS CONVERTIBLE,82,2,4,6,Automatic,28,Turbocharged/Supercharged,Y,"2-Wheel Drive, Front",10,Premium Unleaded Recommended,2,2,Direct ignition
Mini JOHN COOPER WORKS CONVERTIBLE,83,2,4,6,Manual,25,Turbocharged/Supercharged,N,"2-Wheel Drive, Front",10,Premium Unleaded Recommended,2,2,Direct ignition
Porsche 911 Carrera,102,3,6,7,Manual,25,Turbocharged/Supercharged,N,"2-Wheel Drive, Rear",10,Premium Unleaded Required,2,2,Direct ignition
Porsche 911 Carrera,101,3,6,7,Manual,23,Turbocharged/Supercharged,N,"2-Wheel Drive, Rear",10,Premium Unleaded Required,2,2,Direct ignition
Porsche 911 Carrera 4,110,3,6,7,Manual,24,Turbocharged/Supercharged,N,4-Wheel Drive,10,Premium Unleaded Required,2,2,Direct ignition
Porsche 911 Carrera 4,109,3,6,7,Manual,23,Turbocharged/Supercharged,N,4-Wheel Drive,10,Premium Unleaded Required,2,2,Direct ignition
Porsche 911 Carrera 4 Cabriolet,112,3,6,7,Manual,24,Turbocharged/Supercharged,N,4-Wheel Drive,10,Premium Unleaded Required,2,2,Direct ignition
Porsche 911 Carrera 4 Cabriolet,111,3,6,7,Manual,22,Turbocharged/Supercharged,N,4-Wheel Drive,10,Premium Unleaded Required,2,2,Direct ignition
Porsche 911 Carrera 4 GTS,126,3,6,7,Manual,22,Turbocharged/Supercharged,N,4-Wheel Drive,10,Premium Unleaded Required,2,2,Direct ignition
Porsche 911 Carrera 4 GTS,125,3,6,7,Manual,21,Turbocharged/Supercharged,N,4-Wheel Drive,10,Premium Unleaded Required,2,2,Direct ignition
Porsche 911 Carrera 4 GTS Cabriolet,128,3,6,7,Manual,22,Turbocharged/Supercharged,N,4-Wheel Drive,10,Premium Unleaded Required,2,2,Direct ignition
Porsche 911 Carrera 4 GTS Cabriolet,127,3,6,7,Manual,21,Turbocharged/Supercharged,N,4-Wheel Drive,10,Premium Unleaded Required,2,2,Direct ignition
Porsche 911 Carrera 4S,114,3,6,7,Manual,24,Turbocharged/Supercharged,N,4-Wheel Drive,10,Premium Unleaded Required,2,2,Direct ignition
Porsche 911 Carrera 4S,113,3,6,7,Manual,23,Turbocharged/Supercharged,N,4-Wheel Drive,10,Premium Unleaded Required,2,2,Direct ignition
Porsche 911 Carrera 4S Cabriolet,116,3,6,7,Manual,24,Turbocharged/Supercharged,N,4-Wheel Drive,10,Premium Unleaded Required,2,2,Direct ignition
Porsche 911 Carrera 4S Cabriolet,115,3,6,7,Manual,22,Turbocharged/Supercharged,N,4-Wheel Drive,10,Premium Unleaded Required,2,2,Direct ignition
Porsche 911 Carrera Cabriolet,104,3,6,7,Manual,24,Turbocharged/Supercharged,N,"2-Wheel Drive, Rear",10,Premium Unleaded Required,2,2,Direct ignition
Porsche 911 Carrera Cabriolet,103,3,6,7,Manual,23,Turbocharged/Supercharged,N,"2-Wheel Drive, Rear",10,Premium Unleaded Required,2,2,Direct ignition
Porsche 911 Carrera GTS,122,3,6,7,Manual,23,Turbocharged/Supercharged,N,"2-Wheel Drive, Rear",10,Premium Unleaded Required,2,2,Direct ignition
Porsche 911 Carrera GTS,121,3,6,7,Manual,21,Turbocharged/Supercharged,N,"2-Wheel Drive, Rear",10,Premium Unleaded Required,2,2,Direct ignition
Porsche 911 Carrera GTS Cabriolet,124,3,6,7,Manual,22,Turbocharged/Supercharged,N,"2-Wheel Drive, Rear",10,Premium Unleaded Required,2,2,Direct ignition
Porsche 911 Carrera GTS Cabriolet,123,3,6,7,Manual,21,Turbocharged/Supercharged,N,"2-Wheel Drive, Rear",10,Premium Unleaded Required,2,2,Direct ignition
Porsche 911 Carrera S,106,3,6,7,Manual,24,Turbocharged/Supercharged,N,"2-Wheel Drive, Rear",10,Premium Unleaded Required,2,2,Direct ignition
Porsche 911 Carrera S,105,3,6,7,Manual,23,Turbocharged/Supercharged,N,"2-Wheel Drive, Rear",10,Premium Unleaded Required,2,2,Direct ignition
Porsche 911 Carrera S Cabriolet,108,3,6,7,Manual,24,Turbocharged/Supercharged,N,"2-Wheel Drive, Rear",10,Premium Unleaded Required,2,2,Direct ignition
Porsche 911 Carrera S Cabriolet,107,3,6,7,Manual,23,Turbocharged/Supercharged,N,"2-Wheel Drive, Rear",10,Premium Unleaded Required,2,2,Direct ignition
Porsche 911 Targa 4,118,3,6,7,Manual,24,Turbocharged/Supercharged,N,4-Wheel Drive,10,Premium Unleaded Required,2,2,Direct ignition
Porsche 911 Targa 4,117,3,6,7,Manual,22,Turbocharged/Supercharged,N,4-Wheel Drive,10,Premium Unleaded Required,2,2,Direct ignition
Porsche 911 Targa 4 GTS,130,3,6,7,Manual,22,Turbocharged/Supercharged,N,4-Wheel Drive,10,Premium Unleaded Required,2,2,Direct ignition
Porsche 911 Targa 4 GTS,129,3,6,7,Manual,21,Turbocharged/Supercharged,N,4-Wheel Drive,10,Premium Unleaded Required,2,2,Direct ignition
Porsche 911 Targa 4S,120,3,6,7,Manual,24,Turbocharged/Supercharged,N,4-Wheel Drive,10,Premium Unleaded Required,2,2,Direct ignition
Porsche 911 Targa 4S,119,3,6,7,Manual,22,Turbocharged/Supercharged,N,4-Wheel Drive,10,Premium Unleaded Required,2,2,Direct ignition
Porsche 911 Turbo,521,3.8,6,7,Manual,21,Turbocharged/Supercharged,N,All Wheel Drive,10,Premium Unleaded Required,2,2,Direct ignition
Porsche 911 Turbo Cabriolet,522,3.8,6,7,Manual,21,Turbocharged/Supercharged,N,All Wheel Drive,10,Premium Unleaded Required,2,2,Direct ignition
Porsche 911 Turbo S,523,3.8,6,7,Manual,21,Turbocharged/Supercharged,N,All Wheel Drive,10,Premium Unleaded Required,2,2,Direct ignition
Porsche 911 Turbo S Cabriolet,524,3.8,6,7,Manual,21,Turbocharged/Supercharged,N,All Wheel Drive,10,Premium Unleaded Required,2,2,Direct ignition
Porsche 911 Turbo S Exclusive,525,3.8,6,7,Manual,19,Turbocharged/Supercharged,N,All Wheel Drive,10,Premium Unleaded Required,2,2,Direct ignition
Subaru BRZ,2,2,4,6,Automatic,27,Naturally Aspirated,Y,"2-Wheel Drive, Rear",10,Premium Unleaded Required,2,2,Direct ignition
Subaru BRZ,1,2,4,6,Manual,24,Naturally Aspirated,N,"2-Wheel Drive, Rear",10,Premium Unleaded Required,2,2,Direct ignition
Subaru BRZ tS,31,2,4,6,Manual,23,Naturally Aspirated,N,"2-Wheel Drive, Rear",10,Premium Unleaded Required,2,2,Direct ignition
Aston Martin Lagonda Ltd Rapide S,5,6,12,8,Automatic,17,Naturally Aspirated,Y,"2-Wheel Drive, Rear",10,Premium Unleaded Recommended,2,2,Multipoint/sequential ignition
Audi A3,83,2,4,7,Manual,29,Turbocharged/Supercharged,Y,"2-Wheel Drive, Front",15,Regular Unleaded Recommended,2,2,Direct ignition
Audi A3 Cabriolet,84,2,4,7,Manual,28,Turbocharged/Supercharged,Y,"2-Wheel Drive, Front",15,Regular Unleaded Recommended,2,2,Direct ignition
Audi A3 Cabriolet quattro,49,2,4,6,Manual,25,Turbocharged/Supercharged,Y,All Wheel Drive,15,Regular Unleaded Recommended,2,2,Direct ignition
Audi A3 quattro,48,2,4,6,Manual,27,Turbocharged/Supercharged,Y,All Wheel Drive,15,Regular Unleaded Recommended,2,2,Direct ignition
Audi A5 Cabriolet quattro,3,2,4,7,Manual,27,Turbocharged/Supercharged,Y,All Wheel Drive,15,Premium Unleaded Recommended,2,2,Direct ignition
Audi A5 quattro,5,2,4,7,Manual,27,Turbocharged/Supercharged,Y,All Wheel Drive,15,Premium Unleaded Recommended,2,2,Direct ignition
Audi A5 quattro,16,2,4,6,Manual,27,Turbocharged/Supercharged,N,All Wheel Drive,15,Premium Unleaded Recommended,2,2,Direct ignition
Audi RS3,25,2.5,5,7,Manual,22,Turbocharged/Supercharged,Y,All Wheel Drive,15,Premium Unleaded Recommended,2,2,Direct ignition
Audi RS5,73,2.9,6,8,Manual,21,Turbocharged/Supercharged,Y,All Wheel Drive,15,Premium Unleaded Recommended,2,2,Direct ignition
Audi S3,59,2,4,7,Manual,25,Turbocharged/Supercharged,Y,All Wheel Drive,15,Premium Unleaded Recommended,2,2,Direct ignition
Audi S5,8,3,6,8,Manual,24,Turbocharged/Supercharged,Y,All Wheel Drive,15,Premium Unleaded Recommended,2,2,Direct ignition
Audi S5 Cabriolet,10,3,6,8,Manual,23,Turbocharged/Supercharged,Y,All Wheel Drive,15,Premium Unleaded Recommended,2,2,Direct ignition
Audi TT Coupe quattro,47,2,4,6,Manual,26,Turbocharged/Supercharged,Y,All Wheel Drive,15,Regular Unleaded Recommended,2,2,Direct ignition
Audi TT RS,26,2.5,5,7,Manual,22,Turbocharged/Supercharged,Y,All Wheel Drive,15,Premium Unleaded Recommended,2,2,Direct ignition
Audi TTS Coupe,23,2,4,6,Manual,25,Turbocharged/Supercharged,Y,All Wheel Drive,15,Premium Unleaded Recommended,2,2,Direct ignition
Bentley Continental GT Convertible,75,6,12,8,Automatic,14,Turbocharged/Supercharged,Y,All Wheel Drive,15,Premium Unleaded Recommended,2,2,Multipoint/sequential ignition
Bentley Continental Supersports Convt,77,6,12,8,Automatic,14,Turbocharged/Supercharged,Y,All Wheel Drive,15,Premium Unleaded Recommended,2,2,Multipoint/sequential ignition
BMW 230i Convertible,204,2,4,8,Automatic,27,Turbocharged/Supercharged,Y,"2-Wheel Drive, Rear",10,Premium Unleaded Recommended,2,2,Direct ignition
BMW 230i Coupe,200,2,4,8,Automatic,28,Turbocharged/Supercharged,Y,"2-Wheel Drive, Rear",10,Premium Unleaded Recommended,2,2,Direct ignition
BMW 230i Coupe,201,2,4,6,Manual,25,Turbocharged/Supercharged,N,"2-Wheel Drive, Rear",10,Premium Unleaded Recommended,2,2,Direct ignition
BMW 230i xDrive Convertible,206,2,4,8,Automatic,27,Turbocharged/Supercharged,Y,All Wheel Drive,10,Premium Unleaded Recommended,2,2,Direct ignition
BMW 230i xDrive Coupe,202,2,4,8,Automatic,27,Turbocharged/Supercharged,Y,All Wheel Drive,10,Premium Unleaded Recommended,2,2,Direct ignition
BMW 430i Convertible,404,2,4,8,Automatic,27,Turbocharged/Supercharged,Y,"2-Wheel Drive, Rear",10,Premium Unleaded Recommended,2,2,Direct ignition
BMW 430i xDrive Convertible,406,2,4,8,Automatic,26,Turbocharged/Supercharged,Y,All Wheel Drive,10,Premium Unleaded Recommended,2,2,Direct ignition
BMW 440i Convertible,414,3,6,8,Automatic,24,Turbocharged/Supercharged,Y,"2-Wheel Drive, Rear",10,Premium Unleaded Recommended,2,2,Direct ignition
BMW 440i xDrive Convertible,416,3,6,8,Automatic,23,Turbocharged/Supercharged,Y,All Wheel Drive,10,Premium Unleaded Recommended,2,2,Direct ignition
BMW 640i Convertible,641,3,6,8,Automatic,23,Turbocharged/Supercharged,Y,"2-Wheel Drive, Rear",10,Premium Unleaded Recommended,2,2,Direct ignition
BMW 640i xDrive Convertible,645,3,6,8,Automatic,22,Turbocharged/Supercharged,Y,All Wheel Drive,10,Premium Unleaded Recommended,2,2,Direct ignition
BMW 650i Convertible,654,4.4,8,8,Automatic,20,Turbocharged/Supercharged,Y,"2-Wheel Drive, Rear",10,Premium Unleaded Recommended,2,2,Direct ignition
BMW 650i xDrive Convertible,656,4.4,8,8,Automatic,19,Turbocharged/Supercharged,Y,All Wheel Drive,10,Premium Unleaded Recommended,2,2,Direct ignition
BMW M2,281,3,6,7,Manual,22,Turbocharged/Supercharged,N,"2-Wheel Drive, Rear",10,Premium Unleaded Recommended,2,2,Direct ignition
BMW M2,280,3,6,6,Manual,21,Turbocharged/Supercharged,N,"2-Wheel Drive, Rear",10,Premium Unleaded Recommended,2,2,Direct ignition
BMW M240i Convertible,238,3,6,8,Automatic,24,Turbocharged/Supercharged,Y,"2-Wheel Drive, Rear",10,Premium Unleaded Recommended,2,2,Direct ignition
BMW M240i Convertible,239,3,6,6,Manual,22,Turbocharged/Supercharged,N,"2-Wheel Drive, Rear",10,Premium Unleaded Recommended,2,2,Direct ignition
BMW M240i Coupe,235,3,6,8,Automatic,24,Turbocharged/Supercharged,Y,"2-Wheel Drive, Rear",10,Premium Unleaded Recommended,2,2,Direct ignition
BMW M240i Coupe,236,3,6,6,Manual,22,Turbocharged/Supercharged,N,"2-Wheel Drive, Rear",10,Premium Unleaded Recommended,2,2,Direct ignition
BMW M240i xDrive Convertible,240,3,6,8,Automatic,24,Turbocharged/Supercharged,Y,All Wheel Drive,10,Premium Unleaded Recommended,2,2,Direct ignition
BMW M240i xDrive Coupe,237,3,6,8,Automatic,24,Turbocharged/Supercharged,Y,All Wheel Drive,10,Premium Unleaded Recommended,2,2,Direct ignition
BMW M4 Convertible,483,3,6,7,Manual,19,Turbocharged/Supercharged,N,"2-Wheel Drive, Rear",10,Premium Unleaded Recommended,2,2,Direct ignition
BMW M4 Convertible,482,3,6,6,Manual,20,Turbocharged/Supercharged,N,"2-Wheel Drive, Rear",10,Premium Unleaded Required,2,2,Direct ignition
BMW M6 Convertible,663,4.4,8,7,Manual,16,Turbocharged/Supercharged,N,"2-Wheel Drive, Rear",10,Premium Unleaded Recommended,2,2,Direct ignition
