case_identifier,turnout16_2016,RIGGED_SYSTEM_1_2016,RIGGED_SYSTEM_2_2016,RIGGED_SYSTEM_3_2016,RIGGED_SYSTEM_4_2016,RIGGED_SYSTEM_5_2016,RIGGED_SYSTEM_6_2016,track_2016,persfinretro_2016,econtrend_2016,Americatrend_2016,futuretrend_2016,wealth_2016,values_culture_2016,US_respect_2016,trustgovt_2016,trust_people_2016,helpful_people_2016,fair_people_2016,imiss_a_2016,imiss_b_2016,imiss_c_2016,imiss_d_2016,imiss_e_2016,imiss_f_2016,imiss_g_2016,imiss_h_2016,imiss_i_2016,imiss_j_2016,imiss_k_2016,imiss_l_2016,imiss_m_2016,imiss_n_2016,imiss_o_2016,imiss_p_2016,imiss_q_2016,imiss_r_2016,imiss_s_2016,imiss_t_2016,imiss_u_2016,imiss_x_2016,imiss_y_2016
6036608,Voted,3,4,2,1,2,2,2,3,3,2,3,2,2,3,3,1,1,1,4,1,3,1,2,2,3,1,1,1,1,1,1,1,1,4,2,1,1,1,4,1,3
6038444,Voted,2,3,1,3,2,1,1,2,1,1,1,2,2,1,3,1,2,1,2,1,2,2,1,2,3,1,2,1,1,2,1,1,1,2,1,2,1,3,2,1,2
6041060,Voted,3,2,3,2,2,3,2,3,3,3,4,1,3,3,3,1,1,1,1,1,1,2,1,1,3,1,3,1,3,3,2,2,1,1,1,2,1,1,1,1,3
6046208,Voted,2,2,2,1,1,1,2,2,2,1,2,1,3,3,3,2,1,2,1,1,1,3,1,1,4,2,4,2,4,4,2,2,1,2,3,1,2,2,1,3,4
6048548,Voted,4,3,1,4,4,2,2,2,4,3,3,2,1,2,3,1,1,8,1,2,2,1,1,1,1,1,1,1,2,1,1,1,1,2,1,2,1,1,2,1,1
6051575,Voted,1,3,1,1,1,1,2,3,3,3,4,1,3,2,3,1,2,1,1,2,2,1,4,2,1,1,1,1,1,1,1,1,1,4,1,1,1,4,3,2,2
6054065,Voted,3,4,1,1,3,1,1,2,1,3,3,2,3,3,3,8,1,1,2,1,2,1,1,1,2,1,1,1,1,1,1,1,2,3,1,2,1,3,3,1,1
6057581,Voted,4,2,3,3,3,2,2,2,2,3,3,1,3,3,3,2,2,8,1,1,3,2,1,1,4,1,3,1,3,3,1,1,1,1,1,1,2,4,2,2,2
6061217,Voted,2,1,3,1,1,1,2,3,2,1,3,8,3,3,3,2,2,2,1,1,1,1,1,1,1,1,1,1,3,4,1,1,1,1,1,1,1,1,1,2,3
6061877,Voted,4,3,1,2,2,2,2,2,2,3,3,2,2,3,3,2,1,2,1,2,1,1,1,2,1,1,2,1,1,1,1,1,2,2,1,2,1,1,2,1,1
6061937,Voted,4,3,1,3,2,2,2,2,3,1,3,2,3,3,3,2,1,1,2,1,3,1,4,3,3,1,1,1,1,2,1,3,1,2,3,2,1,2,3,2,2
6062156,Voted,4,3,2,3,4,3,1,2,1,1,3,2,3,2,2,2,1,2,1,1,3,1,1,1,2,1,2,1,1,1,1,1,1,3,1,3,1,2,3,1,1
6063833,Voted,4,3,1,3,2,1,2,2,1,1,3,2,3,3,3,1,2,1,2,1,1,1,2,1,2,1,1,1,1,1,1,1,1,1,2,1,1,2,2,1,2
6064967,Voted,4,3,1,4,3,3,2,3,1,1,1,2,3,3,2,2,1,2,3,2,3,1,2,2,2,1,2,2,1,1,3,2,2,3,2,2,3,2,2,3,2
6067322,Voted,2,4,1,2,1,1,2,2,2,2,3,2,3,3,3,1,8,8,2,1,1,1,1,2,3,1,2,1,1,1,1,1,1,2,1,1,1,2,2,1,2
6067754,Voted,4,2,4,2,3,3,1,2,2,2,2,1,3,3,3,1,2,1,1,1,4,4,1,1,4,4,4,4,3,4,2,2,1,1,1,1,4,1,1,3,4
6070919,Voted,4,2,4,1,3,2,2,3,3,3,3,1,3,3,3,2,2,1,1,1,1,3,1,1,4,2,2,1,2,4,3,2,1,1,3,1,3,1,1,4,4
6072560,Voted,4,3,1,3,4,3,2,2,1,1,2,2,1,2,3,2,1,2,2,1,2,1,2,2,1,1,1,1,1,1,1,2,1,3,1,3,1,2,3,1,1
6073346,Voted,3,3,2,3,3,2,3,2,2,1,2,2,1,2,3,2,2,8,1,2,3,2,1,2,1,1,2,1,1,1,2,1,2,2,1,1,2,2,2,1,1
6074072,Voted,4,2,2,2,3,2,2,3,2,4,3,1,3,3,2,2,8,8,1,1,1,2,1,1,3,1,2,1,2,2,1,1,1,1,2,2,1,3,1,1,2
6079028,Voted,3,2,1,3,3,2,2,2,2,1,2,2,2,3,3,2,2,2,2,1,1,1,3,2,1,1,3,1,1,1,1,2,1,2,2,2,1,1,3,1,2
6079631,Voted,2,4,1,3,2,1,2,2,1,3,3,2,1,3,3,2,1,8,2,1,1,1,1,2,1,1,2,1,1,1,1,2,1,3,1,1,1,1,4,1,1
6081782,Voted,4,4,1,2,4,1,1,1,1,1,4,2,3,3,3,8,8,8,2,1,2,1,4,2,2,1,1,1,1,1,1,1,1,2,1,2,1,4,4,1,1
6082415,Voted,3,3,2,3,2,2,2,1,1,1,4,2,8,8,2,2,1,2,3,2,1,1,2,3,1,1,1,1,2,1,1,1,1,3,1,3,1,1,3,1,1
6082955,Voted,4,3,2,3,3,3,3,1,4,1,3,2,8,3,3,1,2,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,2,1,2,1,1,3,1,1
6084239,Voted,3,4,1,3,3,1,3,2,2,3,1,2,1,3,3,2,1,2,2,2,3,1,2,2,2,1,1,1,1,1,1,2,2,3,1,3,1,2,3,1,1
6085712,Voted,3,1,2,1,2,1,2,3,3,3,3,8,3,3,3,1,2,1,1,1,1,3,3,1,4,2,3,1,2,4,1,2,1,1,1,1,1,3,1,4,3
6086672,Voted,3,1,3,1,3,2,1,3,2,2,4,1,3,3,3,1,2,1,1,2,1,2,2,1,3,2,4,2,2,4,2,2,2,1,2,2,1,3,2,2,3
6086936,Voted,1,4,1,2,1,1,2,1,2,3,3,2,2,3,3,1,2,1,2,1,2,1,4,2,1,1,1,1,1,1,1,1,1,2,1,1,1,1,2,1,1
6088319,Voted,3,2,2,3,2,2,2,2,2,1,3,2,3,2,3,2,1,2,2,1,3,1,4,2,1,1,2,1,1,1,1,1,1,3,1,1,1,2,4,1,1
6088628,Voted,3,3,1,3,2,2,3,2,1,2,3,2,1,3,3,2,1,2,3,1,3,1,4,3,1,1,1,1,1,1,1,1,1,1,1,1,1,2,3,1,1
6089561,Voted,4,2,1,3,3,3,3,2,2,2,3,2,2,2,3,2,2,1,2,1,3,1,3,2,2,2,2,2,1,1,2,1,2,2,2,1,2,2,3,3,2
6095012,Voted,3,2,4,1,3,1,2,2,2,3,3,1,3,3,3,1,2,1,1,1,3,3,1,1,4,2,4,2,4,4,3,4,1,1,2,1,1,1,1,4,4
6095318,Voted,3,2,1,3,2,2,1,1,1,1,1,2,2,2,3,8,1,2,2,1,2,1,4,1,1,1,1,1,1,1,1,1,1,2,1,2,1,1,2,1,1
6095753,Voted,3,2,3,1,2,1,2,3,2,2,4,8,3,3,3,2,1,2,1,1,1,4,1,1,2,2,3,1,1,4,1,1,1,1,1,1,1,1,1,2,2
6095852,Voted,3,2,1,2,2,1,1,2,1,2,4,2,8,2,3,2,1,1,2,1,2,2,2,1,2,1,3,1,1,2,1,1,1,1,2,2,1,2,2,1,2
6098411,Voted,3,2,3,2,3,1,1,2,2,4,1,1,3,3,3,1,1,2,2,1,2,2,2,2,3,2,3,2,3,2,2,1,2,2,3,2,2,2,2,2,2
6100238,Voted,4,2,2,4,3,4,2,2,1,1,2,2,3,3,3,2,1,2,3,2,2,1,3,3,3,1,2,2,1,1,2,1,2,3,2,3,2,3,4,2,3
6100907,Voted,3,1,3,1,2,1,2,2,2,3,3,1,3,3,3,1,2,1,1,1,1,3,1,1,4,2,2,1,3,4,2,1,1,1,2,2,2,1,1,2,2
6108272,Voted,3,3,1,3,3,1,2,1,1,1,3,2,8,3,3,2,1,2,4,1,1,1,2,4,2,2,1,2,1,1,1,1,1,4,1,4,3,2,4,1,1
6109619,Voted,4,4,1,3,1,1,1,2,1,4,3,2,8,1,3,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
6110054,Voted,3,2,3,3,2,4,2,2,2,2,3,1,3,3,3,1,2,1,1,1,2,3,1,1,4,1,4,2,3,4,4,2,1,2,2,1,3,1,1,3,4
6110435,Voted,3,3,1,3,2,2,2,2,1,3,3,2,3,3,3,2,1,2,2,1,2,1,4,2,1,1,1,1,1,1,1,1,1,3,1,3,1,1,3,1,1
6110906,Voted,3,3,2,1,3,2,2,2,3,3,3,1,3,3,3,1,2,1,1,1,1,4,1,2,4,2,3,2,3,4,2,3,1,1,3,1,2,1,1,4,4
6111152,Voted,4,1,2,1,3,1,1,3,3,3,3,1,3,3,3,2,1,2,1,1,1,2,1,1,4,2,2,1,1,4,1,1,1,1,1,1,1,2,1,1,4
6114890,Voted,3,3,2,2,2,1,2,2,2,3,3,8,3,3,3,8,8,8,2,2,2,3,3,1,3,2,2,1,3,3,1,2,2,2,2,1,1,3,3,3,3
6116483,Voted,3,2,2,1,2,1,2,2,2,3,3,8,3,3,3,2,2,1,1,1,1,2,1,2,3,2,4,1,2,2,1,2,1,1,3,1,1,4,1,3,4
6116600,Voted,3,3,1,3,3,2,1,2,1,1,1,2,1,1,2,2,1,2,2,2,2,1,1,1,1,1,1,1,1,1,2,2,2,2,1,2,1,2,2,1,1
6116972,Voted,4,2,2,4,3,1,1,2,1,1,1,2,1,2,2,2,1,2,2,1,3,1,1,2,2,1,1,1,1,1,2,1,1,3,1,2,2,2,3,1,1
6117203,Voted,3,3,2,3,3,2,3,2,1,3,4,2,1,3,3,2,8,2,2,2,2,1,4,3,1,1,1,1,2,1,1,1,1,3,1,2,1,1,4,1,1
6117347,Voted,3,2,1,3,4,3,1,2,1,3,3,2,2,3,3,2,1,2,2,1,2,1,3,2,1,2,1,1,1,1,1,1,1,3,1,3,2,3,3,1,1
6120266,Voted,3,3,1,3,3,2,2,2,3,1,3,2,2,1,3,1,2,2,2,2,2,1,4,3,1,1,1,1,1,2,1,1,2,3,1,2,1,1,2,1,1
6124499,Voted,4,2,3,4,4,3,3,1,4,4,1,1,2,2,2,2,1,8,2,1,4,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2,1,4,4,1,1
6126617,Voted,3,2,2,1,3,1,2,3,3,3,3,1,3,3,3,1,1,1,1,1,1,2,1,1,2,1,2,1,1,2,1,2,1,1,1,1,1,2,1,1,2
6128693,Voted,3,2,2,2,3,1,2,2,2,2,3,8,3,3,3,2,2,1,2,2,2,2,1,2,4,2,2,2,1,2,3,1,2,2,2,2,2,1,2,2,2
6129137,Voted,3,2,2,1,3,1,2,3,2,3,1,1,3,3,3,2,1,2,1,1,2,3,1,1,4,2,2,1,2,4,1,1,1,2,2,1,1,2,1,3,2
6137984,Voted,4,4,1,3,2,1,2,2,1,3,3,2,3,2,3,1,2,1,1,1,1,1,4,1,1,2,1,1,1,1,1,1,1,3,1,2,1,1,3,1,1
6141527,Voted,3,2,1,1,2,1,1,1,1,1,1,2,1,2,3,2,1,2,3,1,2,1,2,2,1,1,2,1,1,1,2,1,2,2,1,2,2,2,3,1,1
6142478,Voted,3,4,1,3,2,1,2,3,3,3,3,2,1,3,3,2,1,2,3,1,3,1,2,2,2,1,2,1,1,1,2,2,2,2,2,1,2,4,3,2,2
6143861,Voted,2,3,2,3,2,2,1,2,2,2,2,2,2,3,3,1,2,1,1,1,1,2,1,2,2,1,2,1,2,2,1,2,1,1,2,2,1,1,2,2,1
6152906,Voted,4,3,1,3,3,2,1,3,1,2,4,2,1,1,3,2,1,1,1,1,3,1,1,2,1,1,1,1,1,1,1,1,2,3,1,2,1,4,3,1,1
6153587,Voted,4,2,2,1,2,1,2,3,3,3,3,1,3,3,3,1,2,1,1,1,1,2,1,1,3,2,2,1,1,3,1,2,1,1,2,1,2,3,1,2,1
6163991,Voted,2,2,2,1,1,1,1,2,2,3,2,1,3,3,3,1,8,1,2,1,2,1,1,1,3,2,2,1,3,2,2,2,1,2,3,1,2,3,1,3,4
6166322,Voted,3,2,3,3,3,2,2,1,2,1,2,1,2,3,3,1,2,1,1,1,1,1,2,1,2,1,2,2,2,1,1,1,1,1,2,1,2,3,1,3,3
6166706,Voted,4,2,2,2,2,2,2,2,2,2,3,8,3,2,2,1,2,1,2,2,2,2,1,2,4,1,2,1,2,3,2,2,2,2,2,2,2,1,2,2,4
6166907,Voted,2,4,1,3,3,3,2,1,2,3,3,2,2,3,3,1,2,1,3,1,2,1,4,3,1,1,3,2,1,1,3,1,1,4,1,2,2,4,3,2,2
6167720,Voted,3,2,1,3,3,1,3,1,1,3,1,2,1,3,3,2,1,2,3,1,4,1,1,4,2,2,2,1,1,1,2,1,1,2,1,2,2,4,2,2,2
6169358,Voted,2,3,1,3,2,1,1,2,1,2,3,2,2,1,2,1,2,1,3,1,3,1,3,3,2,1,1,1,1,1,1,1,2,1,1,1,2,1,4,1,2
6170420,Voted,4,1,4,1,2,1,2,2,1,1,3,1,3,3,3,1,2,1,1,1,1,2,1,1,4,1,4,2,3,4,1,2,1,1,2,1,1,3,1,3,4
6170999,Voted,3,2,3,1,2,3,2,3,2,1,4,8,2,3,3,8,1,8,1,1,2,2,1,1,3,1,3,1,3,3,2,1,1,1,1,1,1,2,1,2,3
6173759,Voted,2,3,1,3,1,1,2,2,1,3,3,2,8,3,3,1,2,1,2,1,2,2,1,2,2,1,1,1,1,2,1,1,1,2,1,1,1,1,2,1,1
6174257,Voted,3,4,1,2,3,1,1,2,1,3,3,2,2,1,2,2,2,1,2,1,3,1,3,3,1,1,1,1,2,1,1,2,1,2,2,3,1,3,3,2,2
6178229,Voted,2,2,3,2,2,1,1,2,2,3,3,1,3,3,3,2,2,1,1,1,2,3,1,1,2,2,3,2,1,4,3,2,1,1,3,1,3,3,1,3,3
6178985,Voted,3,2,1,3,2,1,2,2,2,4,4,2,1,3,3,1,2,1,2,2,2,2,4,2,2,1,2,2,1,3,1,1,1,3,2,1,2,4,2,3,3
6179771,Voted,4,3,2,3,2,2,2,2,1,2,3,2,3,3,3,2,1,2,2,2,2,1,2,3,2,2,2,2,1,1,1,2,2,2,2,2,2,2,2,2,2
6180053,Voted,3,1,2,2,2,2,2,3,1,3,3,1,3,3,3,1,1,1,1,2,1,3,1,1,3,1,2,1,1,4,1,2,2,2,2,1,1,1,1,1,3
6181898,Voted,2,3,2,3,3,1,2,3,3,3,3,2,3,3,3,1,2,1,2,1,2,2,1,2,3,1,2,1,1,1,1,1,1,2,1,1,1,4,2,2,2
6183761,Voted,4,3,1,4,4,2,2,2,1,1,2,2,2,3,3,2,1,2,3,2,2,1,1,2,1,1,1,1,1,1,1,1,2,2,1,2,1,1,3,1,1
6184751,Voted,3,1,3,1,2,2,1,2,2,3,1,1,3,3,3,1,2,1,2,1,1,2,1,1,2,2,2,2,1,2,1,1,1,1,1,1,1,1,2,1,3
6185615,Voted,3,1,3,1,1,1,3,2,2,1,2,1,3,3,3,2,2,1,1,1,1,2,1,1,3,2,2,2,2,4,2,2,1,1,2,1,2,2,1,3,4
6188504,Voted,3,2,1,3,2,2,2,2,2,3,4,2,2,3,3,2,8,2,3,2,3,2,3,2,3,2,3,2,2,2,2,2,2,2,3,2,2,3,2,2,2
6191732,Voted,4,1,3,1,3,1,2,2,2,3,3,1,3,3,3,1,1,2,1,1,1,3,1,1,4,3,3,3,3,4,3,2,1,1,3,1,2,3,1,4,4
6192560,Voted,3,1,4,1,4,1,2,2,2,3,3,1,3,3,3,2,1,2,2,1,1,2,1,1,2,1,4,2,2,3,3,2,1,1,3,1,4,3,1,3,4
6194963,Voted,4,3,1,1,3,2,2,2,2,4,4,2,3,3,3,2,2,1,1,1,2,1,2,2,1,1,2,1,1,1,1,1,1,1,1,1,1,2,3,1,1
6197192,Voted,3,2,2,2,3,2,2,2,1,1,2,1,3,3,3,2,1,2,2,1,2,3,2,1,2,3,4,2,3,3,2,2,2,2,2,2,2,2,2,2,3
6197963,Voted,4,3,1,4,3,2,2,2,1,1,1,2,2,3,3,2,8,8,2,1,2,2,2,2,1,1,1,1,2,1,1,1,2,1,2,1,1,3,2,1,2
6202310,Voted,3,2,2,1,2,2,2,2,2,3,3,1,3,3,3,1,2,1,1,1,1,2,2,1,4,2,3,2,3,4,2,2,1,1,3,2,2,4,3,4,4
6202931,Voted,3,3,2,3,2,1,1,2,1,1,3,2,1,2,3,1,2,1,1,1,2,1,4,2,2,1,3,1,1,1,1,2,1,2,2,2,1,2,3,2,2
6203066,Voted,2,3,1,3,2,2,1,2,2,1,2,2,2,1,2,2,1,2,3,1,2,1,4,2,1,2,1,1,1,1,1,1,2,3,2,1,1,2,4,1,1
6204386,Voted,3,2,2,3,2,2,2,1,1,1,3,2,3,3,3,2,2,1,2,1,3,1,4,3,1,1,3,1,1,2,3,1,2,3,2,3,2,2,4,3,2
6208100,Voted,3,3,1,4,2,1,2,1,1,1,4,2,1,1,3,2,1,8,2,1,1,1,4,2,1,1,1,1,1,1,1,1,1,3,1,2,1,1,3,1,1
6209570,Voted,4,1,2,1,2,1,2,2,2,3,3,1,3,3,3,2,1,1,1,2,1,3,2,1,3,2,4,1,3,4,2,3,2,1,2,1,2,3,2,2,4
6211460,Voted,1,3,1,2,2,2,2,3,3,3,3,2,3,3,3,1,2,2,2,1,2,2,2,2,4,2,3,2,2,2,2,2,2,2,2,2,2,2,3,2,2
6216644,Voted,3,1,3,1,3,2,1,2,2,1,4,1,3,3,3,1,2,1,2,1,2,4,1,1,4,2,4,2,3,4,2,2,1,1,3,1,3,3,1,4,4
6216743,Voted,3,1,2,3,3,2,1,1,2,3,2,1,2,2,2,2,1,2,2,1,2,2,1,1,3,3,3,2,2,2,1,1,1,2,2,2,1,2,2,2,2
6217184,Voted,2,3,1,2,2,1,3,2,4,3,3,2,3,3,3,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1
6218957,Voted,3,2,3,1,3,1,1,2,2,3,2,1,3,3,2,1,1,2,2,1,2,3,1,1,3,1,2,1,2,4,1,2,1,1,2,2,1,1,1,1,4
6219497,Voted,4,2,1,3,4,3,1,3,2,1,1,2,1,3,3,2,1,2,1,1,2,1,3,1,1,1,2,1,1,1,1,1,1,1,1,2,1,1,3,1,1
6221858,Voted,4,3,1,3,4,1,2,2,1,1,2,8,2,8,2,2,1,2,1,1,2,1,1,1,2,1,2,1,2,1,1,1,1,2,1,3,1,2,2,2,1
6222932,Voted,3,2,3,1,3,1,2,2,3,3,4,1,8,3,3,1,1,8,1,1,1,1,1,1,2,1,2,1,1,2,1,2,1,1,1,1,1,1,1,2,2
6226313,Voted,1,3,1,2,1,1,2,2,2,3,4,2,3,3,3,8,2,8,2,2,3,1,2,1,2,1,1,1,1,2,1,2,1,2,1,2,1,3,2,1,3
6227495,Voted,2,1,2,1,2,1,2,2,2,3,3,1,3,3,3,1,2,1,1,1,2,3,1,2,4,3,4,2,2,4,3,2,2,1,2,1,2,2,1,4,4
6227969,Voted,3,2,3,1,2,1,2,2,3,3,3,8,3,3,3,2,1,2,1,1,1,2,1,1,1,1,3,3,4,4,2,1,1,1,1,1,3,2,1,1,1
6229142,Voted,1,3,1,1,1,1,2,2,2,3,4,2,2,3,3,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,2,1,1
6229352,Voted,3,2,2,3,3,2,2,2,2,2,4,1,3,3,3,8,8,8,2,1,2,3,2,2,3,2,3,2,3,4,2,2,1,2,2,1,2,3,1,3,3
